State,Marital Status of Parents,Christian Denomination,Previously Enrolled in Public School,Student Age,Family Income,Number of Years Enrolled
New Jersey,Married,Evangelical,Yes,5,156542,1
Michigan,Married,Catholic,No,5,86434,1
Wyoming,Widowed,Lutheran,Yes,11,102625,5
Arkansas,Divorced,Evangelical,Yes,16,183980,9
Washington,Single,Lutheran,No,7,196357,2
Kentucky,Divorced,Non-denominational,No,11,118592,4
Pennsylvania,Single,Evangelical,No,16,47711,9
Delaware,Divorced,Pentecostal,No,8,56746,1
Idaho,Single,Evangelical,Yes,5,68482,1
Texas,Married,Lutheran,No,6,89504,1
California,Widowed,Catholic,Yes,5,107797,1
Montana,Divorced,Evangelical,Yes,16,137739,4
Montana,Divorced,Evangelical,Yes,18,133835,4
Mississippi,Widowed,Pentecostal,No,8,86066,3
Louisiana,Single,Pentecostal,No,17,50996,3
Connecticut,Widowed,Other,Yes,16,86020,11
Alabama,Widowed,Baptist,No,5,91410,1
Utah,Divorced,Catholic,Yes,6,174936,1
Rhode Island,Divorced,Presbyterian,No,16,44412,1
New York,Single,Methodist,Yes,8,124750,2
Tennessee,Divorced,Methodist,No,16,189932,10
Florida,Single,Other,No,10,56278,2
North Carolina,Widowed,Presbyterian,No,17,73155,5
Tennessee,Divorced,Catholic,Yes,17,185775,5
Florida,Single,Orthodox,Yes,13,49719,7
Oregon,Married,Non-denominational,Yes,16,98954,2
Pennsylvania,Widowed,Evangelical,No,14,161825,1
Florida,Widowed,Non-denominational,Yes,8,52646,3
Oregon,Divorced,Evangelical,Yes,15,110237,10
Alaska,Single,Baptist,No,12,129456,5
Utah,Widowed,Non-denominational,Yes,13,102958,6
Idaho,Single,Other,Yes,9,123389,4
California,Divorced,Methodist,Yes,10,107106,5
Oregon,Married,Presbyterian,Yes,18,163380,6
Massachusetts,Married,Orthodox,No,5,170470,1
Wisconsin,Widowed,Catholic,No,11,107409,4
Idaho,Single,Presbyterian,No,11,128433,2
Idaho,Divorced,Lutheran,No,10,45821,2
Montana,Divorced,Evangelical,No,10,88628,4
South Carolina,Divorced,Catholic,Yes,6,179807,1
Indiana,Married,Baptist,Yes,14,127947,8
Louisiana,Widowed,Evangelical,No,17,159398,2
North Dakota,Single,Orthodox,Yes,14,69181,7
Nebraska,Divorced,Evangelical,Yes,17,173413,7
Maine,Single,Presbyterian,No,10,54369,3
Michigan,Divorced,Lutheran,No,7,140764,2
Nevada,Divorced,Pentecostal,No,13,46539,7
Colorado,Widowed,Evangelical,No,13,38671,6
Arkansas,Divorced,Catholic,Yes,13,147346,5
New Hampshire,Single,Baptist,Yes,18,149819,11
Oregon,Widowed,Other,No,13,51317,6
Nevada,Single,Other,No,8,98158,3
Vermont,Widowed,Evangelical,Yes,11,57080,1
Utah,Widowed,Presbyterian,Yes,18,177312,5
South Carolina,Widowed,Catholic,Yes,5,183378,1
Colorado,Married,Non-denominational,Yes,11,154136,3
Tennessee,Single,Non-denominational,Yes,15,191494,2
Ohio,Divorced,Pentecostal,No,9,100367,1
Ohio,Widowed,Lutheran,Yes,10,144336,3
Virginia,Married,Baptist,Yes,7,155768,1
Michigan,Widowed,Baptist,Yes,17,101267,8
Pennsylvania,Divorced,Baptist,Yes,5,118932,1
Alabama,Married,Orthodox,Yes,8,104009,2
Idaho,Married,Methodist,Yes,5,82050,1
Arizona,Divorced,Evangelical,No,6,149022,1
Montana,Divorced,Catholic,Yes,8,89089,1
Oregon,Divorced,Evangelical,Yes,12,177384,5
Vermont,Married,Evangelical,No,8,74693,3
Ohio,Widowed,Catholic,Yes,16,147699,10
Rhode Island,Divorced,Presbyterian,No,16,138543,4
Rhode Island,Married,Pentecostal,Yes,10,177928,3
New York,Single,Other,Yes,14,188600,5
Alabama,Married,Evangelical,No,5,50270,1
Arkansas,Single,Presbyterian,No,11,62976,1
Missouri,Married,Pentecostal,No,6,64269,1
New Hampshire,Divorced,Catholic,Yes,5,168026,1
Alaska,Widowed,Orthodox,Yes,11,103324,1
Ohio,Single,Evangelical,Yes,5,157187,1
Maryland,Divorced,Other,Yes,5,135009,1
Washington,Widowed,Catholic,Yes,17,48113,11
Rhode Island,Single,Presbyterian,No,8,35224,3
Alaska,Single,Presbyterian,No,18,125201,1
Maine,Divorced,Presbyterian,No,15,154422,10
Washington,Single,Catholic,No,16,69712,2
Alabama,Widowed,Other,No,9,40081,3
Connecticut,Single,Presbyterian,Yes,13,197401,7
Hawaii,Divorced,Non-denominational,Yes,5,75573,1
Alaska,Divorced,Catholic,No,14,41187,3
Rhode Island,Divorced,Pentecostal,Yes,14,106925,3
Kansas,Divorced,Orthodox,No,15,150994,2
West Virginia,Widowed,Methodist,No,17,129158,2
Oklahoma,Widowed,Evangelical,No,16,65687,3
Indiana,Widowed,Non-denominational,Yes,10,97741,5
Arkansas,Widowed,Baptist,Yes,9,45647,3
Minnesota,Widowed,Evangelical,No,13,123007,1
Hawaii,Single,Methodist,Yes,11,93099,2
Kansas,Widowed,Methodist,No,5,141869,1
North Dakota,Divorced,Orthodox,Yes,10,161943,4
Arizona,Widowed,Presbyterian,No,14,196149,7
Hawaii,Divorced,Catholic,Yes,14,42329,2
Tennessee,Single,Methodist,No,6,36109,1
Indiana,Single,Non-denominational,No,17,33750,10
North Carolina,Single,Baptist,No,10,79186,4
Alaska,Married,Orthodox,Yes,11,116333,6
Massachusetts,Widowed,Presbyterian,No,18,161845,13
Texas,Single,Orthodox,No,5,193862,1
Iowa,Married,Catholic,Yes,5,106542,1
Virginia,Married,Baptist,No,6,177392,1
Arkansas,Single,Catholic,No,17,44431,6
Texas,Widowed,Presbyterian,No,8,41564,1
North Dakota,Widowed,Methodist,No,18,195786,7
Oregon,Widowed,Presbyterian,Yes,5,135237,1
Oregon,Married,Orthodox,No,15,173003,8
Alabama,Single,Orthodox,Yes,12,164648,4
Delaware,Widowed,Pentecostal,Yes,13,133669,8
Maine,Single,Evangelical,No,5,104389,1
Nebraska,Divorced,Pentecostal,No,14,167150,2
New Jersey,Married,Methodist,Yes,5,175277,1
Virginia,Widowed,Methodist,No,8,82070,2
Virginia,Single,Pentecostal,Yes,14,72323,3
Iowa,Married,Orthodox,Yes,9,177021,3
Nebraska,Married,Methodist,Yes,16,160607,11
Illinois,Divorced,Orthodox,No,14,102727,7
Oregon,Widowed,Pentecostal,No,15,105881,4
Arkansas,Single,Baptist,Yes,8,104415,3
Oklahoma,Married,Evangelical,Yes,14,67978,8
South Dakota,Widowed,Presbyterian,No,16,103935,2
New Jersey,Divorced,Methodist,Yes,12,138281,3
Nebraska,Widowed,Evangelical,No,12,153010,3
Illinois,Divorced,Lutheran,Yes,17,79156,3
North Dakota,Divorced,Orthodox,No,11,102861,4
Rhode Island,Married,Non-denominational,No,15,136335,6
South Carolina,Widowed,Lutheran,No,12,115309,1
Washington,Married,Evangelical,No,14,109614,1
Georgia,Divorced,Evangelical,No,18,139448,4
Illinois,Widowed,Other,Yes,10,170623,2
New York,Widowed,Other,Yes,10,67809,2
New Hampshire,Divorced,Other,Yes,12,111713,7
Hawaii,Single,Non-denominational,Yes,12,42868,4
Louisiana,Widowed,Orthodox,No,6,124307,1
South Carolina,Divorced,Orthodox,No,10,112022,5
Missouri,Married,Catholic,Yes,8,83235,3
Rhode Island,Widowed,Methodist,No,11,161552,4
Arkansas,Married,Orthodox,Yes,14,131854,3
South Dakota,Married,Presbyterian,No,13,95003,4
Louisiana,Married,Evangelical,Yes,16,71514,11
Oregon,Single,Presbyterian,No,10,173001,1
Wisconsin,Widowed,Other,No,12,87414,6
Oklahoma,Single,Evangelical,No,16,137670,9
Tennessee,Married,Non-denominational,No,18,50603,4
Indiana,Single,Other,No,16,122253,6
Arizona,Married,Evangelical,Yes,5,188728,1
Alabama,Divorced,Presbyterian,Yes,5,93280,1
Tennessee,Married,Orthodox,No,9,138108,4
Ohio,Married,Other,No,6,49831,1
South Carolina,Divorced,Lutheran,No,8,107242,1
South Dakota,Divorced,Catholic,Yes,10,63132,3
Hawaii,Widowed,Pentecostal,No,11,140573,1
New Hampshire,Divorced,Evangelical,No,7,183993,2
Alaska,Single,Evangelical,No,16,55206,6
South Carolina,Widowed,Catholic,Yes,11,83552,3
New Jersey,Divorced,Non-denominational,Yes,14,32913,4
Louisiana,Single,Evangelical,No,14,55602,2
New Mexico,Divorced,Baptist,No,7,69493,2
Massachusetts,Widowed,Other,No,9,55386,3
Michigan,Single,Pentecostal,Yes,7,172724,1
Montana,Divorced,Lutheran,Yes,5,129769,1
Wisconsin,Single,Evangelical,No,9,154997,3
Alabama,Divorced,Lutheran,No,14,84650,1
Georgia,Single,Evangelical,No,10,145689,1
Mississippi,Married,Other,Yes,8,101626,2
Montana,Widowed,Methodist,No,7,84685,1
Minnesota,Married,Methodist,Yes,11,158500,6
Wisconsin,Divorced,Presbyterian,Yes,7,150518,2
Wyoming,Married,Non-denominational,No,11,65010,5
Utah,Divorced,Baptist,Yes,11,129923,3
Montana,Single,Catholic,Yes,14,147264,7
Utah,Divorced,Evangelical,No,6,70189,1
North Carolina,Divorced,Lutheran,No,11,99105,5
North Carolina,Married,Presbyterian,No,14,105246,7
Kentucky,Single,Catholic,No,9,106823,3
Florida,Single,Pentecostal,No,9,144069,3
Indiana,Divorced,Baptist,No,9,159531,1
Montana,Single,Evangelical,No,12,62692,1
Delaware,Divorced,Lutheran,No,12,195133,1
Iowa,Single,Lutheran,Yes,18,85033,6
New Hampshire,Married,Other,Yes,8,127664,1
Maryland,Single,Orthodox,Yes,9,190072,4
Massachusetts,Married,Evangelical,No,7,118929,2
Missouri,Married,Orthodox,No,8,113588,1
Delaware,Widowed,Presbyterian,No,16,63800,1
Washington,Divorced,Non-denominational,No,18,98759,3
Texas,Widowed,Orthodox,Yes,16,154576,7
Massachusetts,Widowed,Orthodox,No,8,176921,3
Connecticut,Single,Presbyterian,No,5,190341,1
Nevada,Married,Orthodox,No,16,64026,10
Washington,Widowed,Other,No,11,75705,5
Louisiana,Widowed,Non-denominational,Yes,13,159770,5
Arkansas,Divorced,Presbyterian,Yes,6,136920,1
West Virginia,Single,Presbyterian,Yes,13,182903,1
New Hampshire,Married,Catholic,Yes,11,163173,1
Oregon,Widowed,Catholic,No,18,31021,11
Alabama,Widowed,Other,Yes,11,157408,6
North Carolina,Single,Non-denominational,Yes,10,85291,4
Florida,Single,Presbyterian,Yes,5,145801,1
Nevada,Divorced,Lutheran,Yes,17,180464,3
Maine,Married,Baptist,Yes,5,99442,1
Kentucky,Divorced,Presbyterian,No,8,190162,1
Texas,Divorced,Methodist,Yes,14,103252,2
Florida,Married,Methodist,No,12,81458,7
New York,Single,Evangelical,Yes,12,81231,4
Wyoming,Widowed,Lutheran,No,9,113795,3
Indiana,Married,Evangelical,No,12,107121,4
Missouri,Single,Non-denominational,Yes,6,105537,1
South Dakota,Widowed,Non-denominational,Yes,14,56627,6
Mississippi,Single,Evangelical,No,15,159761,1
California,Divorced,Pentecostal,No,10,108912,1
North Carolina,Single,Other,No,12,117715,3
Nevada,Divorced,Non-denominational,Yes,17,37552,7
Nebraska,Divorced,Baptist,Yes,18,83479,12
Connecticut,Married,Presbyterian,Yes,14,184553,3
Nevada,Widowed,Non-denominational,Yes,7,76244,2
Kansas,Single,Non-denominational,Yes,18,41034,4
Virginia,Single,Catholic,No,13,199107,4
Nevada,Divorced,Evangelical,Yes,18,112578,8
Washington,Married,Catholic,No,9,121312,4
Idaho,Single,Lutheran,Yes,8,122563,2
New Hampshire,Divorced,Lutheran,No,14,85715,3
Kentucky,Single,Orthodox,No,16,197870,4
Kentucky,Widowed,Catholic,No,8,184649,3
South Carolina,Divorced,Catholic,No,18,41093,7
Virginia,Divorced,Presbyterian,No,10,149927,5
Maine,Single,Methodist,No,8,129064,1
Arkansas,Widowed,Pentecostal,Yes,10,118009,5
Rhode Island,Single,Non-denominational,Yes,5,73141,1
Utah,Widowed,Lutheran,Yes,9,186626,2
Tennessee,Divorced,Presbyterian,Yes,5,43948,1
Delaware,Divorced,Non-denominational,No,16,70459,2
Missouri,Single,Presbyterian,Yes,11,96359,1
Massachusetts,Married,Evangelical,Yes,14,37762,2
Washington,Married,Pentecostal,No,17,152917,11
Utah,Widowed,Methodist,No,5,115478,1
Florida,Divorced,Baptist,No,10,133772,4
Pennsylvania,Divorced,Baptist,No,8,122456,1
Rhode Island,Widowed,Methodist,Yes,8,130634,2
South Dakota,Widowed,Non-denominational,Yes,8,179313,3
California,Divorced,Catholic,No,5,120912,1
Florida,Divorced,Evangelical,No,7,67195,2
Rhode Island,Divorced,Orthodox,Yes,18,101812,10
California,Single,Methodist,Yes,15,170326,8
Ohio,Married,Orthodox,No,10,136643,1
Nebraska,Single,Non-denominational,Yes,14,145237,3
Kentucky,Single,Non-denominational,Yes,9,47721,4
Arkansas,Single,Lutheran,Yes,18,64809,5
Minnesota,Single,Methodist,No,8,158481,1
Illinois,Single,Methodist,Yes,18,147793,6
Alaska,Married,Evangelical,No,17,171591,9
California,Married,Evangelical,No,12,45644,6
Illinois,Married,Pentecostal,No,16,90893,8
Connecticut,Widowed,Baptist,No,12,197552,4
Wisconsin,Single,Evangelical,Yes,13,152926,8
Florida,Divorced,Other,Yes,7,31284,1
Virginia,Widowed,Presbyterian,No,8,66912,1
Florida,Single,Orthodox,Yes,16,79284,11
Iowa,Widowed,Presbyterian,Yes,9,199575,2
Alabama,Divorced,Orthodox,No,18,151026,6
Virginia,Divorced,Lutheran,No,16,76432,11
Hawaii,Widowed,Evangelical,Yes,16,170129,5
Mississippi,Single,Catholic,No,16,97028,9
Kentucky,Widowed,Pentecostal,Yes,6,39276,1
Washington,Single,Orthodox,Yes,16,49311,1
Oklahoma,Single,Methodist,Yes,17,192557,3
Connecticut,Widowed,Pentecostal,No,15,135120,2
Arizona,Married,Baptist,Yes,10,60653,5
Maine,Single,Other,Yes,8,149029,1
Texas,Widowed,Presbyterian,Yes,17,75589,9
Utah,Widowed,Methodist,No,17,98005,1
North Carolina,Widowed,Other,Yes,18,168517,3
California,Divorced,Other,Yes,12,125079,5
Alaska,Married,Methodist,Yes,8,59036,3
South Dakota,Divorced,Catholic,Yes,16,130724,10
Virginia,Divorced,Evangelical,No,5,186926,1
North Dakota,Single,Baptist,Yes,7,86821,2
Colorado,Widowed,Non-denominational,No,6,195352,1
Indiana,Widowed,Baptist,Yes,7,189533,2
Massachusetts,Widowed,Evangelical,Yes,7,138377,1
Kentucky,Divorced,Baptist,Yes,16,86463,4
North Dakota,Married,Baptist,Yes,7,197706,2
Mississippi,Widowed,Methodist,Yes,5,50710,1
Mississippi,Single,Baptist,No,5,83049,1
Ohio,Divorced,Non-denominational,Yes,9,182150,3
Nevada,Divorced,Other,No,8,183493,3
Alaska,Widowed,Baptist,No,8,148143,3
New Hampshire,Married,Non-denominational,No,10,141882,3
Texas,Married,Methodist,Yes,6,123897,1
Nebraska,Divorced,Pentecostal,No,14,176806,5
Alaska,Single,Orthodox,Yes,5,123645,1
Pennsylvania,Divorced,Pentecostal,Yes,7,157682,2
New Hampshire,Widowed,Catholic,Yes,7,56590,1
Tennessee,Divorced,Other,Yes,18,102327,9
Idaho,Single,Methodist,Yes,14,153979,8
Delaware,Married,Catholic,Yes,5,34958,1
Virginia,Divorced,Lutheran,Yes,18,98925,12
Louisiana,Married,Pentecostal,Yes,8,198623,2
Nevada,Widowed,Methodist,No,17,127178,3
Illinois,Widowed,Lutheran,No,15,101762,2
Delaware,Married,Presbyterian,No,6,81225,1
Delaware,Married,Baptist,Yes,7,127273,1
Connecticut,Married,Other,No,18,38755,3
Indiana,Married,Other,No,5,191362,1
Michigan,Married,Other,No,8,188210,3
Georgia,Married,Non-denominational,Yes,16,165923,2
Indiana,Single,Baptist,Yes,13,133784,7
North Carolina,Divorced,Evangelical,No,6,190508,1
New York,Single,Orthodox,Yes,5,54241,1
Michigan,Divorced,Methodist,Yes,9,171979,3
Colorado,Single,Evangelical,No,11,97940,2
West Virginia,Widowed,Catholic,Yes,16,91634,10
Illinois,Married,Non-denominational,No,14,177579,9
Hawaii,Married,Catholic,Yes,6,82524,1
Missouri,Divorced,Presbyterian,No,15,193311,4
Ohio,Single,Evangelical,No,6,147751,1
Indiana,Widowed,Evangelical,No,6,108257,1
Wisconsin,Single,Presbyterian,No,18,130525,6
Oklahoma,Single,Evangelical,No,15,79497,3
Nevada,Divorced,Evangelical,No,9,153337,2
Virginia,Married,Pentecostal,No,7,30972,2
West Virginia,Single,Evangelical,No,14,113956,6
North Carolina,Married,Methodist,No,6,118565,1
Illinois,Divorced,Catholic,No,10,184187,3
California,Married,Baptist,No,15,195441,2
Texas,Widowed,Methodist,No,6,185433,1
Arizona,Divorced,Non-denominational,Yes,8,125217,1
Pennsylvania,Widowed,Evangelical,No,18,173918,13
Ohio,Married,Catholic,Yes,9,92108,4
Oregon,Divorced,Presbyterian,No,8,88467,3
Maine,Single,Lutheran,No,13,76815,4
New Hampshire,Divorced,Evangelical,No,17,156078,9
Mississippi,Married,Catholic,No,11,60839,2
North Dakota,Divorced,Presbyterian,No,6,122939,1
Arizona,Single,Pentecostal,Yes,12,150439,7
Maryland,Widowed,Methodist,Yes,11,125435,3
Maryland,Divorced,Pentecostal,No,11,185237,3
Kentucky,Divorced,Pentecostal,No,16,196868,11
Iowa,Widowed,Evangelical,No,12,68391,3
Virginia,Married,Orthodox,Yes,8,87645,3
Maryland,Divorced,Other,Yes,9,137976,3
New Mexico,Single,Baptist,No,5,145664,1
Nevada,Single,Non-denominational,No,5,50523,1
Alabama,Divorced,Presbyterian,No,17,167827,9
Illinois,Single,Pentecostal,No,12,154070,5
Ohio,Single,Catholic,Yes,13,131074,7
Hawaii,Married,Lutheran,No,11,94293,6
Michigan,Married,Catholic,No,17,173811,11
Connecticut,Married,Evangelical,No,6,189542,1
South Carolina,Married,Evangelical,Yes,16,187229,4
Minnesota,Widowed,Presbyterian,Yes,7,158433,2
Arkansas,Single,Methodist,Yes,18,133840,5
Arizona,Divorced,Other,No,18,38453,8
Missouri,Divorced,Methodist,Yes,6,54995,1
New Mexico,Widowed,Non-denominational,Yes,12,163809,5
Connecticut,Married,Pentecostal,No,14,66283,3
West Virginia,Widowed,Presbyterian,Yes,16,168223,6
Vermont,Married,Evangelical,No,17,198423,4
California,Married,Lutheran,No,16,72118,11
Massachusetts,Divorced,Methodist,Yes,8,133031,1
Florida,Single,Presbyterian,No,17,35798,3
Tennessee,Divorced,Orthodox,No,16,150969,9
California,Divorced,Methodist,No,7,95743,2
Rhode Island,Divorced,Non-denominational,No,12,165921,2
Montana,Divorced,Catholic,No,8,133623,3
West Virginia,Single,Catholic,Yes,18,57616,2
Arizona,Widowed,Non-denominational,No,12,143062,1
Wisconsin,Widowed,Presbyterian,No,13,91905,4
Mississippi,Married,Other,Yes,13,59897,1
Utah,Single,Methodist,No,12,129536,6
New York,Married,Catholic,Yes,6,138587,1
Montana,Widowed,Other,Yes,17,153930,1
Oregon,Married,Pentecostal,No,8,51689,2
California,Divorced,Lutheran,Yes,17,50637,3
Vermont,Married,Orthodox,No,9,89635,4
Colorado,Single,Other,Yes,9,162472,3
Wisconsin,Single,Pentecostal,Yes,7,166279,1
New Jersey,Divorced,Lutheran,Yes,11,173091,4
Maine,Married,Pentecostal,No,10,63005,1
Colorado,Widowed,Other,Yes,12,93103,3
Maryland,Divorced,Methodist,Yes,5,176500,1
Mississippi,Widowed,Pentecostal,No,11,162467,2
Georgia,Married,Other,No,10,33274,4
Minnesota,Married,Evangelical,Yes,11,96775,5
Rhode Island,Married,Methodist,No,17,118785,11
Hawaii,Married,Lutheran,No,16,181907,3
Virginia,Single,Non-denominational,Yes,6,87623,1
Missouri,Divorced,Methodist,Yes,7,194143,1
Wyoming,Single,Catholic,Yes,10,130043,2
North Dakota,Married,Baptist,Yes,10,109540,5
Florida,Married,Methodist,Yes,14,141733,8
Missouri,Married,Evangelical,No,5,86487,1
Oregon,Married,Pentecostal,No,16,130489,11
Maryland,Widowed,Methodist,Yes,18,194311,5
New York,Single,Orthodox,No,8,139575,1
New York,Widowed,Lutheran,No,6,119657,1
Indiana,Divorced,Non-denominational,No,6,46739,1
Nebraska,Single,Baptist,Yes,18,132041,7
Washington,Widowed,Non-denominational,Yes,18,34829,13
Michigan,Married,Catholic,Yes,10,46140,3
Missouri,Widowed,Non-denominational,No,8,133266,3
Oregon,Single,Evangelical,No,11,95886,4
Massachusetts,Widowed,Evangelical,Yes,16,105669,1
Rhode Island,Single,Pentecostal,No,7,121334,1
Maine,Widowed,Other,Yes,10,166274,4
New York,Widowed,Orthodox,No,17,171447,10
Oregon,Divorced,Presbyterian,Yes,15,68284,9
Kentucky,Divorced,Non-denominational,Yes,5,32624,1
Wisconsin,Widowed,Evangelical,Yes,17,118850,7
Maine,Single,Other,Yes,13,164216,8
Georgia,Widowed,Other,No,6,105400,1
Alabama,Divorced,Pentecostal,No,7,181124,2
Washington,Widowed,Pentecostal,Yes,12,196290,1
Colorado,Married,Methodist,No,13,36957,6
Georgia,Widowed,Evangelical,Yes,10,77145,1
Louisiana,Divorced,Lutheran,No,17,138852,1
Nevada,Married,Methodist,Yes,7,127440,1
Missouri,Widowed,Presbyterian,Yes,7,143938,1
Wisconsin,Divorced,Orthodox,Yes,5,167866,1
Mississippi,Divorced,Baptist,No,14,52560,4
Colorado,Single,Presbyterian,Yes,14,174982,1
Arizona,Widowed,Evangelical,No,16,177951,3
Texas,Married,Lutheran,Yes,8,146082,3
Illinois,Widowed,Presbyterian,Yes,9,130694,2
Connecticut,Married,Presbyterian,No,16,72575,4
Iowa,Divorced,Pentecostal,Yes,8,42694,3
Kansas,Married,Catholic,No,13,157978,6
Utah,Widowed,Evangelical,No,18,40137,1
Alaska,Divorced,Methodist,No,5,74099,1
Maryland,Single,Non-denominational,Yes,10,81896,2
New York,Divorced,Other,Yes,15,145460,2
Maryland,Widowed,Pentecostal,Yes,14,192593,5
Maryland,Married,Lutheran,Yes,18,111476,11
Maine,Married,Presbyterian,Yes,6,67512,1
Delaware,Widowed,Evangelical,Yes,6,165656,1
Pennsylvania,Divorced,Evangelical,Yes,7,188349,1
Hawaii,Married,Catholic,Yes,8,118380,3
Arizona,Married,Non-denominational,Yes,9,162015,4
Florida,Single,Methodist,No,13,123760,8
Florida,Widowed,Pentecostal,No,11,70764,6
